COMANDO	DESCRIPCIÓN
pwck:	    Verifica la integridad del archivo /etc/passwd
adduser:	Ver useradd.
dig:   	Utilería para consultas a servidores DNS.
ss:    	Utileria similar a netstat pero más básica, listados rápidos de sockets establecidos.
host:  	Utileria de consulta a sevidores DNS.
kill:  	Termina procesos, mas correctamente envía señales a procesos.
killall:	Termina procesos del mismo nombre o conjunto.
tailf: 	Sinónimo del comando tail -f, permite ver en tiempo real la parte final de un archivo, es decir, conforme se va escribiendo, útil para monitorear bitácoras.
exit:  	Sale del shell o terminal actual.
testparm:	Revisa archivos smb.conf de samba por errores o correciones.
resolveip:	Resuelve la ip del dominio o host que se indique.
repquota:	Reporte de uso de cuotas de disco.
cut:   	Remueve secciones (columnas principalmente) de cada línea de un archivo o archivos.
popd:  	Remueve entradas (directorios utilizados) de la lista de directorios utilizados en la pila. (ver dirs y pushd)
reboot:   	Reinicia el equipo.
ipcalc:	Realiza cálculos simples sobre direcciones IP.
vmstat:	Proporciona información sobre la memoria virtual.
at:    	Programa trabajos, comandos, scripts para su ejecución posterior.
rpm:   	Programa para la instalación/actualización/eliminación de paquetes, distros basadas en redhat.
urpme: 	Programa del paquete urpmi para desinstalar o eliminar paquetes.
ssh:   	Programa de login remoto seguro, programa del paquete openssh (protocolo de comunicación encriptado).
quota:	    Permite ver el uso de cuotas por usuario.
bzmore:	Permite ver el contenido de archivos comprimidos o empaquetados mediante bzip2.
arp:   	Permite obtener/manipular la lista de direcciones MAC/Ip que el sistema ve.
dirs:  	Permite mostrar, manipular la lista de directorios utilizados en la pila. (ver popd y pushd)
zless: 	Permite mostrar el contenido de archivos comprimidos.
zmore: 	Permite mostrar el contenido de archivos comprimidos.
fping: 	Permite mandar paquetes ICMP (pings) a múltiples equipos en una red y determinar si están vivos o no.
dump:  	Permite la creación de respaldos para los sistemas de archivos ext2 y ext3.
gpasswd:	Permite la administración del archivo /etc/group
sudo:  	Permite indicar que usuario ejecuta que comandos de root.
tzselect:	Permite establecer una zona o huso horario.
basename:	Permite eliminar la ruta del nombre de un archivo.
ethtool:	Permite desplegar o cambiar valores de una tarjeta de red.
curl:  	Permite descargar o transferir url's.
expect:	Permite crear secuencias de diálogos y programar sesiones interactivas con otros comandos o scripts.
chage: 	Permite cambiar la información (expiración, caducidad, etc) de la contraseña de un usuario.
ifstat:	Pequeña utileria que permite observar estadísticas de las interfaces de red en tiempo real.
more:  	Paginador similar a less pero menos funcioanal, ya que sale avanza y no retocede.
sort:  	Ordena líneas de archivos y listas
uniq:  	Omite o reporta sobre líneas repetidas en un archivo o listado.
iwlist:	Obtiene información detallada de una tarjeta inalámbrica.
mv:    	Mueve archivos y directorios.
